network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 cifar_7_1024_fgsm.onnx,9,1, image_9,0.0195,0.0234,88.46635079,test,fgsm
 cifar_7_1024_fgsm.onnx,33,1, image_33,0.0273,0.0312,253.6461365,test,fgsm
 cifar_7_1024_fgsm.onnx,13,5, image_13,0.0234,0.0351,7364.983451,test,fgsm
 cifar_7_1024_fgsm.onnx,43,6, image_43,0.0273,0.039,7613.337036,test,fgsm
 cifar_7_1024_fgsm.onnx,64,9, image_64,0.0195,0.0234,89.1098938,test,fgsm
 cifar_7_1024_fgsm.onnx,68,5, image_68,0.0078,0.0117,75.34202409,test,fgsm
 cifar_7_1024_fgsm.onnx,48,1, image_48,0.0351,0.0468,7798.968184,test,fgsm
 cifar_7_1024_fgsm.onnx,24,1, image_24,0.039,0.0546,11062.1332,test,fgsm
 cifar_7_1024_fgsm.onnx,80,6, image_80,0.0195,0.0273,5006.551414,test,fgsm
 cifar_7_1024_fgsm.onnx,97,1, image_97,0.0312,0.0351,118.895016,test,fgsm
 cifar_7_1024_fgsm.onnx,99,8, image_99,0.0234,0.0273,145.094151,test,fgsm
 cifar_7_1024_fgsm.onnx,79,8, image_79,0.0351,0.0429,6179.091138,test,fgsm
 cifar_7_1024_fgsm.onnx,14,9, image_14,0.0585,0.0858,22576.34822,test,fgsm
 cifar_7_1024_fgsm.onnx,23,6, image_23,0.0429,0.0819,32577.88563,test,fgsm
 cifar_7_1024_fgsm.onnx,60,1, image_60,0.0507,0.0897,32899.29106,test,fgsm
 cifar_7_1024_fgsm.onnx,70,8, image_70,0.0507,0.0897,32598.13421,test,fgsm
 cifar_7_1024_fgsm.onnx,46,0, image_46,0.0936,0.1482,47530.63337,test,fgsm
 cifar_7_1024_fgsm.onnx,4,5, image_4,0.0156,0.0195,109.8342907,train,fgsm
 cifar_7_1024_fgsm.onnx,5,6, image_5,0.0078,0.0117,75.3096509,train,fgsm
 cifar_7_1024_fgsm.onnx,7,6, image_7,0.0039,0.0078,90.58148408,train,fgsm
