network_path,image_id,original_label,tmp_path,epsilon_value,smallest_sat_value,total_time,split,training
 gtsrb_cnn_vnncomp23_relu_standard.onnx,1,19,image_1,0,0.0078,104.2661116,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,4,31,image_4,0,0.0078,99.33001661,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,0,2,image_0,0,0.0156,135.2742617,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,2,14,image_2,0,0.0156,141.085711,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,5,3,image_5,0,0.0039,93.3474524,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,8,15,image_8,0,0.0078,97.21287346,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,6,1,image_6,0,0.0156,144.9141994,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,7,20,image_7,0,0.0156,142.5608747,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,9,1,image_9,0,0.0195,146.7246826,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,11,4,image_11,0,0.0195,147.360822,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,12,11,image_12,0,0.0195,138.9643254,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,10,11,image_10,0,0.0273,186.5036771,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,14,4,image_14,0,0.0078,104.471916,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,13,38,image_13,0,0.0234,169.0778766,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,16,5,image_16,0,0.0039,87.57056952,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,15,16,image_15,0,0.0117,118.0149877,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,19,29,image_19,0,0.0117,120.1844816,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,18,10,image_18,0,0.0234,170.2727478,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,20,17,image_20,0,0.0234,163.2033236,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,17,13,image_17,0,0.0273,191.3816936,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,21,2,image_21,0,0.0039,94.41045785,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,23,5,image_23,0,0.0078,105.0486646,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,24,10,image_24,0,0.0117,121.2695897,test,standard
 gtsrb_cnn_vnncomp23_relu_standard.onnx,22,25,image_22,0,0.0234,170.8470461,test,standard
