,image_id,epsilon_value,total_time,smallest_sat_value,network_path,split,training,tmp_path,original_label
0,80,0.173,10063.34101,0.179,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_80,7.0
1,0,0.241,10261.31713,0.243,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_0,7.0
2,30,0.215,11946.31947,0.217,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_30,3.0
3,60,0.249,12151.4452,0.251,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_60,7.0
4,10,0.287,12950.68625,0.289,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_10,0.0
5,40,0.203,13014.36862,0.207,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_40,1.0
6,90,0.269,13392.3933,0.273,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_90,3.0
7,20,0.285,14940.44543,0.287,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_20,9.0
8,50,0.239,16246.92066,0.245,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_50,6.0
9,31,0.205,6484.171746,0.207,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_31,1.0
10,32,0.265,3073.527649,0.267,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_32,3.0
11,51,0.201,7528.466952,0.203,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_51,3.0
12,81,0.253,16114.59427,0.257,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_81,6.0
13,70,0.255,26534.95302,0.259,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_70,7.0
14,91,0.267,13924.50135,0.279,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_91,6.0
15,41,0.205,16225.78803,0.207,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_41,7.0
16,21,0.205,14485.64539,0.207,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_21,6.0
17,82,0.309,6114.374588,0.311,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_82,2.0
18,11,0.235,19525.26254,0.237,mnist_relu_4_1024_fgsm_02.onnx,test,fgsm,image_11,6.0
