,epsilon_value,result,time,network,image,split
0,0.1989,SAT,8.376539707183838,gtsrb_7_1024_standard,image_59,test
1,0.0974999999999999,SAT,8.283491611480713,gtsrb_7_1024_standard,image_59,test
2,0.0467999999999999,SAT,7.806484460830688,gtsrb_7_1024_standard,image_59,test
3,0.0195,SAT,7.906446218490601,gtsrb_7_1024_standard,image_59,test
4,0.0078,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_59,test
5,0.0039,UNSAT,9.516160488128662,gtsrb_7_1024_standard,image_59,test
6,0.0116999999999999,SAT,8.18111777305603,gtsrb_7_1024_standard,image_59,test
0,0.1989,SAT,9.298925161361694,gtsrb_7_1024_standard,image_53,test
1,0.0974999999999999,SAT,9.115049362182615,gtsrb_7_1024_standard,image_53,test
2,0.0467999999999999,SAT,8.296983480453491,gtsrb_7_1024_standard,image_53,test
3,0.0195,SAT,8.280543565750122,gtsrb_7_1024_standard,image_53,test
4,0.0078,UNSAT,49.20608377456665,gtsrb_7_1024_standard,image_53,test
5,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_53,test
6,0.0156,SAT,8.346078395843506,gtsrb_7_1024_standard,image_53,test
0,0.1989,SAT,9.118172407150269,gtsrb_7_1024_standard,image_24,test
1,0.0974999999999999,SAT,9.047750234603882,gtsrb_7_1024_standard,image_24,test
2,0.0467999999999999,SAT,8.521115064620972,gtsrb_7_1024_standard,image_24,test
3,0.0195,SAT,8.341612100601196,gtsrb_7_1024_standard,image_24,test
4,0.0078,UNSAT,10.004611492156982,gtsrb_7_1024_standard,image_24,test
5,0.0116999999999999,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_24,test
6,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_24,test
0,0.1989,SAT,8.209717035293579,gtsrb_7_1024_standard,image_85,test
1,0.0974999999999999,SAT,8.399028301239014,gtsrb_7_1024_standard,image_85,test
2,0.0467999999999999,SAT,7.829298257827759,gtsrb_7_1024_standard,image_85,test
3,0.0195,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_85,test
4,0.0233999999999999,SAT,8.021574974060059,gtsrb_7_1024_standard,image_85,test
5,0.0078,UNSAT,9.241009950637816,gtsrb_7_1024_standard,image_85,test
6,0.0116999999999999,UNSAT,93.56282496452332,gtsrb_7_1024_standard,image_85,test
7,0.0156,TIMEOUT,3600.0,gtsrb_7_1024_standard,image_85,test
0,0.1989,SAT,7.895521402359009,gtsrb_7_1024_standard,image_61,test
1,0.0974999999999999,SAT,7.769121170043945,gtsrb_7_1024_standard,image_61,test
2,0.0467999999999999,SAT,9.185883522033691,gtsrb_7_1024_standard,image_61,test
3,0.0195,SAT,8.319687843322754,gtsrb_7_1024_standard,image_61,test
4,0.0078,SAT,8.235339879989624,gtsrb_7_1024_standard,image_61,test
