,split,result,runtime,network,image
0.533,test,sat,12.505523443222046,mnist_relu_4_1024_fgsm_02,image_41
0.267,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.265,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.263,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.269,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.261,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.271,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.259,test,unsat,2635.914365530014,mnist_relu_4_1024_fgsm_02,image_41
0.403,test,sat,189.8686592578888,mnist_relu_4_1024_fgsm_02,image_41
0.273,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.339,test,sat,609.35409283638,mnist_relu_4_1024_fgsm_02,image_41
0.337,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.305,test,unsat,3162.212624073029,mnist_relu_4_1024_fgsm_02,image_41
0.303,test,cancelled,968.1197645664216,mnist_relu_4_1024_fgsm_02,image_41
0.315,test,unsat,2833.253008365631,mnist_relu_4_1024_fgsm_02,image_41
0.325,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.327,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.323,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.329,test,unsat,3543.910305738449,mnist_relu_4_1024_fgsm_02,image_41
0.321,test,cancelled,2801.8168618679047,mnist_relu_4_1024_fgsm_02,image_41
0.331,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.333,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_41
0.335,test,sat,1903.571766614914,mnist_relu_4_1024_fgsm_02,image_41
0.533,test,sat,24.178991556167603,mnist_relu_4_1024_fgsm_02,image_90
0.265,test,unsat,2982.995928287506,mnist_relu_4_1024_fgsm_02,image_90
0.399,test,sat,47.93962025642395,mnist_relu_4_1024_fgsm_02,image_90
0.333,test,sat,438.9192068576813,mnist_relu_4_1024_fgsm_02,image_90
0.267,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_90
0.301,test,unsat,2929.3958213329315,mnist_relu_4_1024_fgsm_02,image_90
0.299,test,cancelled,2986.994122982025,mnist_relu_4_1024_fgsm_02,image_90
0.321,test,sat,484.2347638607025,mnist_relu_4_1024_fgsm_02,image_90
0.311,test,sat,491.4078042507172,mnist_relu_4_1024_fgsm_02,image_90
0.305,test,unsat,2921.876583337784,mnist_relu_4_1024_fgsm_02,image_90
0.309,test,timeout,3600.0,mnist_relu_4_1024_fgsm_02,image_90
0.307,test,unsat,3412.094418287277,mnist_relu_4_1024_fgsm_02,image_90
0.533,test,sat,7.793487787246704,mnist_relu_4_1024_fgsm_02,image_46
0.267,test,sat,443.1179623603821,mnist_relu_4_1024_fgsm_02,image_46
